城市,类型,店名,点评,人均,口味,环境,服务,,,,,,
上海,小吃快餐,三宝粥铺(南京东路店)分店,21180,45,7.8,7.2,7.4,,,,,,
上海,粤菜,龙记香港茶餐厅(久光百货店)分店,8837,74,7.3,6.5,6.4,,,,,,
上海,其他,耶里夏丽(百联真光路店)分店,8113,88,9,9,9,,,,,,
天津,火锅,大吉利潮汕牛肉火锅(南开店)分店,7691,81,9.2,8.8,9,,,,,,
广州,面包甜点,瑞可爷爷的店(东方宝泰店)分店,7257,36,8.3,8,8.1,,,,,,
上海,粤菜,太兴餐厅(上海来福士广场店)分店,7001,97,7.2,7.4,7,,,,,,
上海,咖啡厅,小小花园,6959,96,7.2,8.1,7.7,,,,,,
上海,台湾菜,千秋膳房(日月光店)分店,6475,58,7.7,7.2,7.4,,,,,,
广州,西餐,很高兴遇见你(广州店)分店,6472,94,7.3,8.5,8.1,,,,,,
上海,小龙虾,红盔甲(胶州路店)分店,6151,188,8.5,8.3,8.5,,,,,,
北京,粤菜,汤城小厨(长楹天街购物中心店)分店,6081,89,8.5,8.8,8.6,,,,,,
重庆,火锅,沧龙火锅,5829,82,8.5,8.1,8.1,,,,,,
北京,川菜,舌尖记忆(王府井银泰in88店),5695,69,8.4,9,8.6,,,,,,
广州,茶餐厅,好彩港式茶餐厅(乐峰广场店)分店,5311,59,7.7,7.5,7.3,,,,,,
北京,烧烤,木屋烧烤(北京欢乐谷店)分店,5048,98,9,8.8,8.9,,,,,,
福州,海鲜,海通上合自助百汇(五四北泰禾广...,4938,157,8.3,8.9,8.4,,,,,,
北京,西餐,王品牛排(北京西单店)分店,4886,365,8.5,9,9,,,,,,
上海,火锅,左庭右院鲜牛肉火锅(特力时尚汇...分店,4837,127,9.1,9,9,,,,,,
南昌,火锅,汉丽轩自助烤肉火锅,4514,42,7.6,7.4,7.5,,,,,,
深圳,川菜,姚姚爱鱼YaooaY(中心城店)分店,4473,79,7.9,8.2,7.5,,,,,,
北京,北京菜,紫光园(常营店)分店,4420,74,8.9,8.5,8.3,,,,,,
武汉,湖北菜,粗茶淡饭·武昌城分店,4373,102,9,9.3,9,,,,,,
广州,日本料理,大雄寿司(北京路店)分店,4203,86,8.6,8.5,8.6,,,,,,
杭州,火锅,阳光码头海鲜豆捞(文一路店),4128,156,8.8,9,9.1,,,,,,
沈阳,小吃快餐,肯德基(龙之梦店)分店,4062,20,8.5,8.5,8.1,,,,,,
广州,粤菜,新泰乐(盘福店)分店,4039,88,8.1,7.4,7.2,,,,,,
北京,创意菜,兰溪小馆(东直门簋街店)分店,3906,101,8.5,8.9,8.6,,,,,,
北京,西餐,皇后饼店(三里屯店),3887,69,7.6,8.3,7.6,,,,,,
苏州,韩国料理,农乐园(沈浒路店)分店,3807,81,9.1,9,8.9,,,,,,
南京,东南亚菜,梵·泰兰泰国餐厅(奥体店),3657,133,8.2,9,8.7,,,,,,
杭州,杭帮/江浙菜,岽阳餐馆(长生路店)分店,3635,73,8.8,8.5,8.3,,,,,,
北京,自助餐,铁木真(垡头店)分店,3497,104,7.3,7.3,7.3,,,,,,
广州,粤菜,悦榕庄(白云旗舰店)分店,3414,86,8.3,8.2,7.9,,,,,,
深圳,川菜,辣宴(民治大润发店)分店,3260,63,8.2,8.2,8.1,,,,,,
广州,川菜,探鱼(来又来时尚购物广场店)分店,3248,81,8.6,8.8,8.4,,,,,,
无锡,西餐,喜来稀肉(无锡T12店),3078,85,8.3,8.6,8.5,,,,,,
沈阳,北京菜,大鸭梨(星摩尔店),3069,83,8.3,8.6,7.8,,,,,,
北京,家常菜,太熟悉家常菜(右安门店)分店,3007,81,7.4,7.6,7,,,,,,
上海,川菜,宋记香辣蟹(七宝万科广场店)分店,2970,116,8.4,8.9,8.9,,,,,,
沈阳,自助餐,韩都自助烤肉(南塔鞋城店)分店,2967,62,8.6,9,8.8,,,,,,
苏州,面馆,同得兴精品面馆(十全街店)分店,2965,47,8.3,8.1,7.8,,,,,,
北京,火锅,黔道老坛酸菜鱼火锅(国鹏大厦店),2920,81,8.7,9,8.8,,,,,,
上海,西餐,PizzaMarzano玛尚诺(上海商城店)分店,2878,132,8.5,8.6,8.4,,,,,,
北京,西餐,星期五餐厅(金融街店)分店,2847,180,7.7,8.1,7.5,,,,,,
上海,西餐,馆子House198,2811,113,8.3,8.9,8.6,,,,,,
广州,火锅,麻田会(维家思广场店)分店,2808,91,7.8,7.5,7.1,,,,,,
天津,面馆,百年面道(和平路店)分店,2798,28,7.7,7.1,7.2,,,,,,
上海,韩国料理,长腿叔叔韩国年糕专门店,2732,50,8.5,8.2,8.3,,,,,,
北京,海鲜,管氏翅吧(地安门店)分店,2659,73,8.3,7.2,7.3,,,,,,
广州,火锅,鱼满塘(富力海珠城广场店)分店,2556,80,7.7,8.4,8,,,,,,
上海,台湾菜,一茶一坐台湾特色茶餐厅(紫荆广...,2521,77,7.8,8.3,7.7,,,,,,
杭州,杭帮/江浙菜,老头儿油爆虾(姚园寺店)分店,2494,55,7.9,6.5,6.6,,,,,,
广州,川菜,禄鼎记(兴盛汇店)分店,2467,103,8.5,8.2,8.4,,,,,,
上海,东北菜,老于家东北人家(徐家汇店)分店,2463,60,8.4,8.1,8.3,,,,,,
广州,川菜,黄记煌三汁焖锅(乐峰广场店)分店,2448,84,7.7,7.9,7.4,,,,,,
大连,面包甜点,米洛克欧洲蛋糕店(佳兆业店)分店,2437,53,8,8.3,8.1,,,,,,
深圳,面包甜点,许留山(深圳曼哈店)分店,2434,36,7.2,7,7,,,,,,
南京,烧烤,新石器烤肉(天印广场店)分店,2376,74,9.1,9,8.9,,,,,,
武汉,火锅,德派自助烤肉火锅店,2375,45,7.5,7.4,7.4,,,,,,
沈阳,西餐,酷公社·榴莲披萨(兴隆大家庭中...分店,2357,64,9.2,9.1,9.1,,,,,,
北京,西餐,聚乐港(西直门凯德店)分店,2354,72,7.7,8.4,7.6,,,,,,
深圳,粤菜,渔记餐厅广告,2321,83,8,8.3,8.4,,,,,,
深圳,日本料理,堂小锅(KKMALL店)分店,2320,118,8.2,8.8,8.4,,,,,,
成都,其他,大蓉和(拉德方斯精品店)分店,2275,90,8.5,8.4,7.7,,,,,,
