,0,1,2,3,4,5,6,7,8,9,10,11
0,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,1,詹姆斯-哈登,火箭,36.50,10.70-24.10,44.2%,4.90-13.30,37%,10.30-11.80,86.7%,50,37.50
2,2,安东尼-戴维斯,鹈鹕,29.30,10.50-20.60,50.8%,1.00-3.00,32.5%,7.40-9.10,81.2%,41,37.00
3,3,斯蒂芬-库里,勇士,29.20,9.80-19.80,49.3%,5.20-11.60,45.1%,4.40-4.80,92.3%,41,34.30
4,4,保罗-乔治,雷霆,28.00,9.30-20.70,45%,3.80-9.20,40.6%,5.70-6.80,83.3%,52,36.10
5,5,凯文-杜兰特,勇士,27.50,9.60-19.00,50.5%,1.90-5.00,36.6%,6.40-7.10,90.8%,52,35.50
6,6,乔尔-恩比德,76人,27.40,9.00-18.70,48.3%,1.20-4.00,29.9%,8.20-10.20,80.7%,50,33.70
7,7,科怀-伦纳德,猛龙,27.30,9.40-18.90,49.6%,1.80-4.90,37.1%,6.70-7.80,86.2%,41,34.90
8,8,扬尼斯-阿德托昆博,雄鹿,26.70,9.80-17.10,57.2%,0.50-2.40,19.3%,6.60-9.20,71.8%,49,33.10
9,9,达米安-利拉德,开拓者,26.40,8.70-19.30,45%,2.80-7.70,37.2%,6.20-6.80,90.8%,51,35.30
10,10,布雷克-格里芬,活塞,26.10,8.90-18.60,47.7%,2.40-6.70,36.3%,5.90-7.80,76%,51,36.30
11,11,德文-布克,太阳,24.90,8.80-19.00,46.3%,2.10-6.50,32.4%,5.10-6.10,84.4%,42,34.80
12,12,布拉德利-比尔,奇才,24.80,9.20-19.60,46.9%,2.60-7.20,35.4%,3.80-4.80,79.4%,53,37.00
13,13,肯巴-沃克,黄蜂,24.70,8.60-19.80,43.3%,3.20-8.90,36.2%,4.40-5.30,82.6%,53,34.40
14,14,凯里-欧文,凯尔特人,23.80,9.10-18.10,50.3%,2.60-6.30,40.8%,3.00-3.50,85.4%,45,32.80
