,排名,球队,场次,平均每场比赛进行的时间,赛季投篮命中数,17_18赛季场均投篮次数,投篮命中率,三分命中数,三分投篮数,三分命中率,两分命中数,两分投篮数,两分命中率,罚球命中数,罚球数,罚球命中率,进攻篮板数,防守篮板数,篮板数,助攻,抢断,盖帽,失误,个犯规,17-18赛季得分,百分_78
0,1.0,勇士,82,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,"[100,160)"
1,2.0,火箭,82,240.9,38.7,84.2,0.46,15.3,42.3,0.362,23.4,41.9,0.5579999999999999,19.6,25.1,0.7809999999999999,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,"[100,160)"
2,3.0,黄蜂,82,243.4,42.7,88.3,0.483,10.2,28.2,0.362,32.5,60.1,0.54,16.1,20.9,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,"[100,160)"
3,4.0,猛龙,82,241.8,41.3,87.4,0.472,11.8,33.0,0.358,29.5,54.4,0.541,17.3,21.8,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,"[100,160)"
4,5.0,骑士,82,240.6,40.4,84.8,0.476,12.0,32.1,0.3720000000000001,28.4,52.6,0.54,18.1,23.3,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,"[100,160)"
5,6.0,掘金,82,242.4,40.7,86.6,0.47,11.5,30.9,0.371,29.2,55.7,0.525,17.1,22.3,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,"[100,160)"
6,7.0,76人,82,241.2,40.8,86.6,0.472,11.0,29.8,0.369,29.9,56.7,0.526,17.1,22.8,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,"[100,160)"
7,8.0,森林狼,82,241.5,41.0,86.1,0.476,8.0,22.5,0.35700000000000004,33.0,63.6,0.519,19.4,24.1,0.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,"[100,160)"
8,9.0,快船,82,240.3,40.3,85.4,0.471,9.5,26.8,0.354,30.8,58.6,0.525,19.0,25.5,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,"[100,160)"
9,10.0,鹈鹕,82,241.2,39.0,86.7,0.45,10.0,27.2,0.369,28.9,59.4,0.487,20.2,27.0,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,"[100,160)"
