排名,球员,球队,18-19赛季得分,命中率,三分命中率,罚球命中率,场次,上场时间,罚球命中数,罚球数,三分命中数,三分投篮数,赛季投篮命中数,18_19赛季场均投篮次数
1,詹姆斯-哈登,火箭,36.5,0.442,0.37,0.867,50,37.5,10.3,11.8,4.9,13.3,10.7,24.1
2,安东尼-戴维斯,鹈鹕,29.3,0.508,0.325,0.812,41,37.0,7.4,9.1,1.0,3.0,10.5,20.6
3,斯蒂芬-库里,勇士,29.2,0.493,0.451,0.9229999999999999,41,34.3,4.4,4.8,5.2,11.6,9.8,19.8
4,保罗-乔治,雷霆,28.0,0.45,0.406,0.833,52,36.1,5.7,6.8,3.8,9.2,9.3,20.7
5,凯文-杜兰特,勇士,27.5,0.505,0.366,0.9079999999999999,52,35.5,6.4,7.1,1.9,5.0,9.6,19.0
6,乔尔-恩比德,76人,27.4,0.483,0.299,0.807,50,33.7,8.2,10.2,1.2,4.0,9.0,18.7
7,科怀-伦纳德,猛龙,27.3,0.496,0.371,0.862,41,34.9,6.7,7.8,1.8,4.9,9.4,18.9
8,扬尼斯-阿德托昆博,雄鹿,26.7,0.5720000000000001,0.193,0.718,49,33.1,6.6,9.2,0.5,2.4,9.8,17.1
9,达米安-利拉德,开拓者,26.4,0.45,0.37200000000000005,0.9079999999999999,51,35.3,6.2,6.8,2.8,7.7,8.7,19.3
10,布雷克-格里芬,活塞,26.1,0.47700000000000004,0.363,0.76,51,36.3,5.9,7.8,2.4,6.7,8.9,18.6
11,德文-布克,太阳,24.9,0.46299999999999997,0.324,0.8440000000000001,42,34.8,5.1,6.1,2.1,6.5,8.8,19.0
12,布拉德利-比尔,奇才,24.8,0.469,0.354,0.794,53,37.0,3.8,4.8,2.6,7.2,9.2,19.6
13,肯巴-沃克,黄蜂,24.7,0.433,0.36200000000000004,0.826,53,34.4,4.4,5.3,3.2,8.9,8.6,19.8
14,凯里-欧文,凯尔特人,23.8,0.503,0.408,0.8540000000000001,45,32.8,3.0,3.5,2.6,6.3,9.1,18.1
15,扎克-拉文,公牛,22.8,0.45399999999999996,0.34299999999999997,0.866,46,33.8,4.9,5.7,1.7,5.0,8.1,17.8
15,卡尔-安东尼-唐斯,森林狼,22.8,0.502,0.373,0.845,53,33.2,4.6,5.5,1.7,4.6,8.2,16.4
17,多诺万-米切尔,爵士,22.4,0.42100000000000004,0.324,0.7959999999999999,50,33.2,3.9,4.9,2.2,6.7,8.2,19.4
18,克莱-汤普森,勇士,21.8,0.465,0.38299999999999995,0.81,51,34.2,1.8,2.3,2.9,7.5,8.6,18.4
19,拉塞尔-威斯布鲁克,雷霆,21.4,0.41700000000000004,0.248,0.643,45,35.5,4.0,6.2,1.1,4.5,8.1,19.5
20,德马尔-德罗赞,马刺,21.3,0.46399999999999997,0.171,0.82,51,35.2,4.8,5.8,0.1,0.8,8.2,17.6
21,拉马库斯-阿尔德里奇,马刺,21.2,0.515,0.19,0.855,55,32.6,4.5,5.3,0.1,0.4,8.3,16.1
22,CJ-麦科勒姆,开拓者,21.0,0.46299999999999997,0.359,0.828,51,34.0,2.3,2.8,2.1,6.0,8.2,17.8
22,朱-霍勒迪,鹈鹕,21.0,0.47600000000000003,0.322,0.758,54,36.7,3.1,4.1,1.6,5.1,8.1,17.1
24,托拜厄斯-哈里斯,快船,20.9,0.496,0.434,0.877,55,34.6,3.5,4.0,2.0,4.7,7.7,15.6
25,卢卡-东契奇,独行侠,20.7,0.435,0.35200000000000004,0.731,50,32.1,4.5,6.2,2.4,6.8,6.9,15.8
26,尼古拉-武切维奇,魔术,20.6,0.52,0.38,0.775,53,31.4,2.1,2.7,1.1,3.0,8.7,16.8
27,迈克-康利,灰熊,20.4,0.433,0.365,0.846,53,33.8,4.2,5.0,2.2,6.1,6.9,16.0
27,巴迪-希尔德,国王,20.4,0.479,0.45899999999999996,0.861,53,31.6,1.8,2.0,3.5,7.5,7.6,15.9
29,尼古拉-约基奇,掘金,20.1,0.506,0.303,0.845,52,31.3,3.8,4.5,1.1,3.6,7.6,15.1
30,朱利叶斯-兰德尔,鹈鹕,19.9,0.544,0.318,0.738,47,29.6,4.7,6.4,0.6,1.9,7.3,13.4
31,丹吉洛-拉塞尔,篮网,19.6,0.43700000000000006,0.374,0.818,54,29.7,1.7,2.0,2.7,7.2,7.7,17.5
32,吉米-巴特勒,76人,19.5,0.47700000000000004,0.37,0.853,42,33.4,4.4,5.2,1.3,3.5,6.9,14.4
33,路易斯-威廉姆斯,快船,19.4,0.42100000000000004,0.37,0.899,49,26.1,5.6,6.2,1.4,3.8,6.2,14.8
34,小蒂姆-哈达威,独行侠,19.1,0.38799999999999996,0.34700000000000003,0.8540000000000001,46,32.6,4.3,5.1,2.5,7.3,6.1,15.8
35,达尼罗-加里纳利,快船,19.0,0.45,0.446,0.9059999999999999,44,31.3,5.0,5.6,2.4,5.4,5.8,12.8
36,凯尔-库兹马,湖人,18.6,0.46299999999999997,0.302,0.7609999999999999,50,32.6,2.7,3.5,1.8,6.0,7.1,15.3
37,贾马尔-默里,掘金,18.5,0.43200000000000005,0.365,0.836,47,33.5,2.6,3.1,1.9,5.3,7.0,16.1
38,德里克-罗斯,森林狼,18.3,0.478,0.41100000000000003,0.8540000000000001,39,28.7,2.7,3.2,1.4,3.3,7.1,14.9
38,JJ-雷迪克,76人,18.3,0.446,0.384,0.902,50,31.1,2.9,3.3,3.1,8.0,6.2,13.8
40,TJ-沃伦,太阳,18.0,0.486,0.428,0.815,43,31.6,2.3,2.9,1.8,4.2,6.9,14.2
41,哈里森-巴恩斯,独行侠,17.8,0.406,0.39,0.833,48,32.5,3.4,4.1,2.5,6.3,6.0,14.7
42,安德鲁-威金斯,森林狼,17.7,0.39399999999999996,0.332,0.718,49,34.7,3.2,4.4,1.6,4.8,6.5,16.4
43,克林特-卡佩拉,火箭,17.6,0.631,0.0,0.626,42,34.2,2.6,4.1,0.0,0.0,7.5,11.9
44,达龙-福克斯,国王,17.5,0.465,0.368,0.728,52,31.5,3.9,5.3,1.1,2.9,6.3,13.5
45,约什-理查德森,热火,17.3,0.402,0.371,0.865,49,34.6,3.0,3.5,2.4,6.6,5.9,14.7
45,克里斯-米德尔顿,雄鹿,17.3,0.441,0.38,0.847,50,31.1,2.7,3.1,2.3,6.1,6.2,14.0
47,斯潘塞-丁威迪,篮网,17.2,0.461,0.366,0.795,49,28.6,4.0,5.1,2.0,5.3,5.6,12.2
48,布兰登-英格拉姆,湖人,17.1,0.48700000000000004,0.292,0.653,43,33.3,3.4,5.2,0.5,1.7,6.6,13.6
49,本-西蒙斯,76人,17.0,0.574,0.0,0.59,53,33.9,3.3,5.5,0.0,0.0,6.9,12.0
50,特雷-杨,老鹰,16.8,0.40700000000000003,0.303,0.8029999999999999,53,30.0,3.5,4.4,1.7,5.6,5.8,14.2
50,安德烈-德拉蒙德,活塞,16.8,0.517,0.125,0.542,50,32.9,2.6,4.8,0.1,0.6,7.1,13.7
52,乔丹-克拉克森,骑士,16.6,0.451,0.336,0.821,53,26.5,1.7,2.1,1.8,5.3,6.5,14.5
53,博扬-波格丹诺维奇,步行者,16.4,0.49,0.431,0.826,54,31.8,2.7,3.3,2.0,4.6,5.9,12.0
54,杰森-塔特姆,凯尔特人,16.3,0.451,0.37200000000000005,0.863,54,31.0,2.7,3.1,1.6,4.3,6.0,13.3
54,德安德烈-艾顿,太阳,16.3,0.589,0.0,0.775,49,30.9,2.0,2.6,0.0,0.1,7.1,12.1
